ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,RegistryPathIntune,RegistryPathDCP,RegistryItemIntune,ClassName,Namespace,Property,DefaultValue,RecommendedValue,RecommendedValueIntune,Operator,OperatorIntune,Severity
10000,"Administrative Templates: Start Menu and Taskbar","Notifications: Turn off toast notifications on the lock screen",Registry,,HKCU:\SOFTWARE\Policies\Microsoft\Windows\CurrentVersion\PushNotifications,NoToastApplicationNotificationOnLockScreen,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\AboveLock,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\AboveLock,AllowToasts,,,,0,1,,=,,Medium
10001,"Administrative Templates: Windows Components","Cloud Content: Do not suggest third-party content in Windows spotlight",Registry,,HKCU:\Software\Policies\Microsoft\Windows\CloudContent,DisableThirdPartySuggestions,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\Experience,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\Experience,AllowThirdPartySuggestionsInWindowsSpotlight,,,,0,1,,=,,Medium
10002,"Internet Explorer","Turn on the auto-complete feature for user names and passwords on forms (Main)",Registry,,"HKCU:\Software\Policies\Microsoft\Internet Explorer\Main","FormSuggest Passwords",,,,,,,,no,,=,,Medium
10003,"Internet Explorer","Turn on the auto-complete feature for user names and passwords on forms (Control Panel)",Registry,,"HKCU:\Software\Policies\Microsoft\Internet Explorer\Control Panel","FormSuggest Passwords",,,,,,,,1,,=,,Medium
10004,"Internet Explorer","Turn on the auto-complete feature for user names and passwords on forms (Ask)",Registry,,"HKCU:\Software\Policies\Microsoft\Internet Explorer\Main","FormSuggest PW Ask",,,,,,,,no,,=,,Medium
