ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,RegistryPathIntune,RegistryPathDCP,RegistryItemIntune,ClassName,Namespace,Property,DefaultValue,DefaultValueIntune,RecommendedValue,RecommendedValueIntune,Operator,OperatorIntune,Severity,Filter
38,"Administrative Templates: System","Internet Communication Management: Internet Communication Settings: Turn off Help Experience Improvement Program",Registry,,HKCU:\Software\Policies\Microsoft\Assistance\Client\1.0,NoImplicitFeedback,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\{SID}\ADMX_HelpAndSupport,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\{SID}\ADMX_HelpAndSupport,HPImplicitFeedback,,,,0,,1,,=,,Medium,
110,"Administrative Templates: Windows Components","Cloud Content: Turn off all Windows spotlight features",Registry,,HKCU:\Software\Policies\Microsoft\Windows\CloudContent,DisableWindowsSpotlightFeatures,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\{SID}\Experience,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\{SID}\Experience,AllowWindowsSpotlight,,,,0,,1,,=,,Medium,
111,"Administrative Templates: Windows Components","Cloud Content: Do not use diagnostic data for tailored experiences",Registry,,HKCU:\Software\Policies\Microsoft\Windows\CloudContent,DisableTailoredExperiencesWithDiagnosticData,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\{SID}\Experience,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\{SID}\Experience,AllowTailoredExperiencesWithDiagnosticData,,,,0,,1,,=,,Medium,
182,"Administrative Templates: Windows Components","Windows Media Player: Playback: Prevent Codec Download",Registry,,HKCU:\Software\Policies\Microsoft\WindowsMediaPlayer,PreventCodecDownload,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\{SID}\ADMX_WindowsMediaPlayer,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\{SID}\ADMX_WindowsMediaPlayer,PolicyCodecUpdate,,,,,,1,,=,,Medium,
